"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/02/2023","2.217,03","2.164,62","2.264,53","2.120,67","85,38M","2,43%"
"01/01/2023","2.164,35","2.003,99","2.195,44","2.003,99","56,95M","8,00%"
"01/12/2022","2.003,99","2.015,80","2.088,14","1.939,52","52,59M","-0,44%"
"01/11/2022","2.012,86","1.960,22","2.117,99","1.906,44","55,76M","2,69%"
"01/10/2022","1.960,13","1.830,45","1.978,77","1.760,04","69,41M","6,13%"
"01/09/2022","1.846,93","2.036,16","2.077,16","1.705,53","74,92M","-10,51%"
"01/08/2022","2.063,81","2.200,88","2.275,42","2.061,10","59,52M","-6,20%"
"01/07/2022","2.200,15","1.975,76","2.216,02","1.923,51","56,38M","10,64%"
"01/06/2022","1.988,52","2.345,24","2.349,76","1.972,98","76,82M","-14,51%"
"01/05/2022","2.325,98","2.334,65","2.400,10","2.232,63","57,93M","-0,95%"
"01/04/2022","2.348,26","2.396,35","2.473,92","2.337,45","44,00M","-2,58%"
"01/03/2022","2.410,42","2.407,65","2.454,55","2.077,34","80,30M","-0,48%"
"01/02/2022","2.422,00","2.472,77","2.535,08","2.342,78","57,47M","-1,62%"
"01/01/2022","2.461,91","2.407,25","2.500,45","2.378,86","61,52M","2,66%"
"01/12/2021","2.398,16","2.286,72","2.403,41","2.246,84","63,62M","5,01%"
"01/11/2021","2.283,76","2.394,27","2.502,07","2.269,88","76,10M","-4,72%"
"01/10/2021","2.396,98","2.326,33","2.448,90","2.292,94","54,91M","1,23%"
"01/09/2021","2.367,94","2.542,58","2.556,53","2.361,49","50,38M","-6,08%"
"01/08/2021","2.521,25","2.525,19","2.591,36","2.464,84","38,95M","0,76%"
"01/07/2021","2.502,21","2.473,25","2.579,26","2.400,97","46,70M","1,68%"
"01/06/2021","2.460,84","2.497,49","2.660,35","2.452,99","52,90M","-1,14%"
"01/05/2021","2.489,10","2.383,66","2.514,52","2.379,88","49,27M","4,50%"
"01/04/2021","2.381,81","2.264,71","2.421,49","2.264,20","49,81M","4,89%"
"01/03/2021","2.270,86","2.195,76","2.360,26","2.194,13","101,81M","4,05%"
"01/02/2021","2.182,51","2.138,77","2.216,77","2.030,31","81,65M","0,81%"
"01/01/2021","2.164,92","2.216,24","2.244,11","1.996,03","118,30M","-1,08%"
"01/12/2020","2.188,45","2.129,94","2.241,38","2.003,28","72,44M","4,03%"
"01/11/2020","2.103,70","1.546,18","2.208,08","1.544,24","140,01M","35,66%"
"01/10/2020","1.550,75","1.645,37","1.711,31","1.491,30","96,86M","-6,18%"
"01/09/2020","1.652,85","1.803,35","1.818,00","1.560,32","100,28M","-8,17%"
"01/08/2020","1.799,90","1.827,06","1.899,62","1.762,13","78,52M","-1,54%"
"01/07/2020","1.828,05","1.986,23","2.028,38","1.809,67","67,62M","-7,79%"
"01/06/2020","1.982,38","1.954,48","2.312,92","1.951,00","127,06M","2,79%"
"01/05/2020","1.928,54","1.938,02","1.958,06","1.720,40","85,32M","-1,28%"
"01/04/2020","1.953,56","1.910,75","2.060,68","1.873,62","67,22M","1,19%"
"01/03/2020","1.930,67","2.757,48","2.833,87","1.658,91","130,70M","-29,23%"
"01/02/2020","2.727,96","2.983,91","3.112,63","2.708,21","57,12M","-8,46%"
"01/01/2020","2.980,06","3.029,65","3.058,02","2.976,62","44,84M","-1,33%"
"01/12/2019","3.020,33","2.931,68","3.024,97","2.894,35","36,76M","3,11%"
"01/11/2019","2.929,16","2.900,87","2.979,88","2.883,12","36,63M","1,06%"
"01/10/2019","2.898,33","2.759,14","2.907,29","2.697,76","42,06M","5,20%"
"01/09/2019","2.755,13","2.645,63","2.765,41","2.611,99","54,10M","4,31%"
"01/08/2019","2.641,29","2.589,36","2.641,29","2.557,81","41,37M","2,06%"
"01/07/2019","2.588,02","2.663,77","2.681,17","2.585,56","41,24M","-2,13%"
"01/06/2019","2.644,34","2.600,24","2.674,86","2.587,56","43,72M","1,52%"
"01/05/2019","2.604,68","2.719,44","2.745,87","2.584,36","38,66M","-4,22%"
"01/04/2019","2.719,43","2.694,36","2.759,79","2.685,69","35,44M","1,10%"
"01/03/2019","2.689,80","2.646,42","2.711,18","2.626,74","39,72M","1,69%"
"01/02/2019","2.644,97","2.575,57","2.648,72","2.554,35","38,41M","2,71%"
